lon,lat,campground_code,campground_name,type,phone_number,dates_open,comments,num_campsite,amenities,state,bearing_to_town,nearest_town,toilets,drinking_water,reservations,showers,elevation_m,distance_to_town_km,station_code,station_elevation,station_dist_km
-122.48,38.002,CHIC,China Camp State Park,SP,415-456-0766,all year,long walk to sites,NA,NH ND SH RS,CA,NE,San Rafael,NA,NA,TRUE,TRUE,NA,5.47,USC00047880,37,5.04
-122.105,37.759,ANTH,Anthony Chabot Regional Park,CP,888-327-2757,NA,NA,NA,E DP FT DW SH,CA,E,Oakland,flush,TRUE,NA,TRUE,NA,15.45,USW00023230,2,11.03
-122.445,37.466,HALM,Half Moon Bay State Beach,SP,650-726-8819,all year,NA,NA,NH DP NS RS,CA,W,Half Moon Bay,NA,NA,TRUE,FALSE,NA,1.45,USC00043714,8,0.74
-122.739,38.024,SAMU,Samuel Taylor State Park,SP,415-488-9897,mid may-late dec,NA,60,NH DP 31ft FT DW SH RS,CA,W,Lagunitas,flush,TRUE,TRUE,TRUE,NA,4.51,USC00047880,37,17.95
-121.933,37.851,MTDI,Mt. Diablo State Park,SP,925-837-2525,all year,3 campgrounds,84,NH 20ft FT DW RS,CA,SE,Walnut Creek,flush,TRUE,TRUE,NA,501,13.36,USC00045915,661,3.14
-121.891,37.707,CAMP,Camp Parks Military,MIL,NA,NA,military only - do not use our lat/lon - contact them for directions and info,NA,NH ND NS RS,CA,E,Dublin,NA,NA,TRUE,FALSE,NA,4.02,USW00023285,120,6.94
-121.889,37.659,ALAM,Alameda County Fairgrounds RV,CP,NA,NA,NA,NA,E,CA,W,Pleasanton,NA,NA,NA,NA,NA,1.29,USW00023285,120,7.58
-122.294,37.277,SANM,San Mateo Memorial County Park,CP,650-879-0238,all year,NA,156,NH DP 35ft FT DW SH,CA,E,Pescadero,flush,TRUE,NA,TRUE,NA,8.21,USC00048273,692,10.47
-122.246,38.276,SKYL,Skyline Wilderness County Park,CP,707-252-0481,NA,NA,59,E DP DW SH,CA,SE,Napa,NA,TRUE,NA,TRUE,NA,4.35,USC00046074,11,1.65
-121.821,38.011,CONT,Contra Costa County Fair RV Park,CP,925-757-4400,all year,NA,24,E ND DW SH,CA,NW,Antioch,NA,TRUE,NA,TRUE,NA,1.45,USC00040232,18,6.76
-121.835,37.515,SUNO,Sunol Regional Wilderness,CP,510-544-3249,NA,closed 2011-2015,NA,NH ND NW NS RS L$,CA,S,Pleasanton,NA,FALSE,TRUE,FALSE,NA,16.74,USC00043244,12,16.26
-122.278,38.296,NAPV,Napa Valley Expo,CP,707-253-4900,NA,RV park,NA,WES DP FT DW SH,CA,E,Napa,flush,TRUE,NA,TRUE,NA,0.8,USC00046074,11,2.33
-122.212,37.262,PORR,Portola Redwoods State Park,SP,650-948-9098,early mar-late dec,steep windy roads,53,NH ND 24ft FT DW SH RS,CA,SE,Lahonda,flush,TRUE,TRUE,TRUE,NA,8.37,USC00048273,692,6.18
-122.326,37.232,BUTA,Butano State Park,SP,650-879-2040,mid may-late dec,NA,39,NH ND 24ft FT DW NS RS,CA,SE,Pescadero,flush,TRUE,TRUE,FALSE,NA,5.63,USC00048273,692,15.42
-122.783,38.247,PETA,Petaluma Lake Area Military,MIL,707-765-7341,NA,military only - do not use our lat/lon - contact them for directions and info,NA,RS,CA,W,Petaluma,NA,NA,TRUE,NA,NA,12.87,USC00046826,6,15.38
