lon,lat,campground_code,campground_name,type,phone_number,dates_open,comments,num_campsite,amenities,state,bearing_to_town,nearest_town,toilets,drinking_water,reservations,showers,pets,opening_week,closing_week,elevation_m,distance_to_town_km
-146.343,61.086,ALLI,Allison Point,CP,907-835-2282,mid may-mid sep,NA,61,45ft,AK,S,Valdez,NA,NA,NA,NA,NA,20,37,NA,4.99
-151.865,59.768,ANCH,Anchor River State Rec Area,SRA,907-262-5581,NA,NA,75,NR,AK,SW,Anchor Point,NA,NA,FALSE,NA,NA,NA,NA,NA,2.09
-150.81,66.566,ARCT,Arctic Circle - Dalton Hwy,BLM,NA,NA,NA,NA,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-134.737,58.381,AUKV,Auk Village,NF,907-586-8800/907-225-3101,NA,NA,17,NR,AK,NW,Juneau,NA,NA,FALSE,NA,NA,NA,NA,NA,20.44
-149.256,60.751,BERT,Bertha Creek,NF,907-783-3242/907-743-9500,NA,NA,12,NR,AK,SE,Hope,NA,NA,FALSE,NA,NA,NA,NA,NA,28
-149.849,61.543,BIGL,Big Lake North State Rec Area,SRA,907-745-3975,NA,NA,60,NR,AK,W,Wasilla,NA,NA,FALSE,NA,NA,NA,NA,NA,22.05
-150.702,60.516,BING,Bings Landing State Rec Area,SRA,907-262-5581,NA,NA,40,NR,AK,SE,Sterling,NA,NA,FALSE,NA,NA,NA,NA,NA,4.18
-146.641,64.319,BIRC,Birch Lake State Rec Area,SRA,NA,NA,NA,25,VT DW NR L$,AK,SE,Salcha,vault,TRUE,FALSE,NA,NA,NA,NA,NA,22.05
-149.464,60.973,BIRD,Bird Creek - Chugach State Park,SP,907-345-5014,NA,NA,47,NR,AK,SE,Anchorage,NA,NA,FALSE,NA,NA,NA,NA,NA,35.89
-148.909,60.794,BLAC,Black Bear,NF,907-783-3242/907-743-9500,NA,NA,12,NR,AK,SE,Girdwood,NA,NA,FALSE,NA,NA,NA,NA,NA,22.53
-132.823,56.615,BLIN,Blind Slough,NF,NA,NA,take ferry,NA,NR,AK,S,Petersburg,NA,NA,FALSE,NA,NA,NA,NA,NA,23.5
-145.686,61.121,BLUE,Blueberry Lake State Rec Area,SRA,NA,NA,NA,25,VT DW NR,AK,E,Valdez,vault,TRUE,FALSE,NA,NA,NA,NA,NA,35.57
-148.055,63.294,BRUS,Brushkana Creek,BLM,NA,NA,NA,NA,NR,AK,E,Cantwell,NA,NA,FALSE,NA,NA,NA,NA,NA,46.03
-152.478,57.763,BUSK,Buskin River State Rec Area,SRA,907-486-6339,NA,take ferry,15,NR,AK,SW,Kodiak,NA,NA,FALSE,NA,NA,NA,NA,NA,5.15
-150.115,62.747,BYER,Byers Lake - Denali State Park,SP,907-745-3975,NA,NA,65,NR,AK,N,Trapper Creek,NA,NA,FALSE,NA,NA,NA,NA,NA,48.28
-149.733,61.227,CENT,Centennial Camper Park,CP,907-343-6986,NA,NA,90,NA,AK,E,Anchorage,NA,NA,NA,NA,NA,NA,NA,NA,9.01
-146.373,64.903,CHEN,Chena River State Rec Area,SRA,907-451-2695,NA,3 campgrounds along same road,75,NH FT DW NR,AK,E,Fairbanks,flush,TRUE,FALSE,NA,NA,NA,NA,NA,63.89
-147.81,64.84,CHER,Chena River State Rec Site,SRA,907-451-2695,NA,in town Fairbanks,60,WE FT DW NR,AK,W,Fairbanks,flush,TRUE,FALSE,NA,NA,NA,NA,NA,4.51
-144.763,60.661,CHID,Childs Glacier Recreation Area,NP,907-424-7661,early jun-late sep,NA,9,NH VT DW RS,AK,NA,NA,vault,TRUE,TRUE,NA,NA,23,39,NA,NA
-135.363,59.148,CHIK,Chilkat State Park,SP,907-766-2292,NA,NA,30,NR,AK,SE,Haines,NA,NA,FALSE,NA,NA,NA,NA,NA,10.78
-135.559,59.334,CHIL,Chilkoot Lake State Rec Area,SRA,907-465-4563,NA,NA,30,NR,AK,NW,Haines,NA,NA,FALSE,NA,NA,NA,NA,NA,12.71
-151.387,60.233,CLAM,Clam Gulch State Rec Area,SRA,907-262-5581,NA,NA,115,NR,AK,NE,Clam Gulch,NA,NA,FALSE,NA,NA,NA,NA,NA,0.32
-145.442,64.055,CLEA,Clearwater State Rec Area,SRA,NA,NA,NA,17,VT DW NR,AK,E,Delta Junction,vault,TRUE,FALSE,NA,NA,NA,NA,NA,14.16
-149.533,60.85,COEU,Coeur Dalene,NF,907-224-3374/907-743-9500,NA,NA,6,NR,AK,SE,Hope,NA,NA,FALSE,NA,NA,NA,NA,NA,9.82
-149.888,60.484,COOP,Cooper Creek Trailhead,NF,907-224-3374/907-743-9500,early jun-late aug,NA,34,NH RS,AK,W,Cooper Landing,NA,NA,TRUE,NA,NA,23,34,NA,3.06
-149.688,60.499,CRES,Crescent Creek,NF,907-224-3374/907-743-9500,NA,NA,13,NR,AK,E,Cooper Landing,NA,NA,FALSE,NA,NA,NA,NA,NA,8.05
-146.694,65.274,CRIP,Cripple Creek - Steese Hwy,BLM,NA,NA,NA,12,NH VT NR,AK,NE,Fairbanks,vault,NA,FALSE,NA,NA,NA,NA,NA,68.24
-151.688,60.027,DEEP,Deep Creek State Rec Area,SRA,907-262-5581,NA,NA,160,NR,AK,S,Ninilchik,NA,NA,FALSE,NA,NA,NA,NA,NA,2.9
-145.733,64.06,DELT,Delta State Rec Area,SRA,907-451-2695,NA,NA,25,NR,AK,N,Delta Junction,NA,NA,FALSE,NA,NA,NA,NA,NA,2.41
-150.17,62.737,DENA,Denali Viewpoint - Denali State Park,SP,907-745-3975,NA,NA,25,NR,AK,N,Talkeetna,NA,NA,FALSE,NA,NA,NA,NA,NA,46.35
-151.016,60.804,DISC,Discovery State Rec Area,SRA,907-262-5581,NA,NA,53,NR,AK,NE,Kenai,NA,NA,FALSE,NA,NA,NA,NA,NA,30.74
-150.799,60.702,DOLL,Dolly Varden Lake,NA,NA,NA,NA,NA,NA,AK,NE,Kenai,NA,NA,NA,NA,NA,NA,NA,NA,29.93
-145.883,63.677,DONN,Donnelly Creek State Rec Area,SRA,NA,NA,NA,12,VT DW NR,AK,S,Delta Junction,vault,TRUE,FALSE,NA,NA,NA,NA,NA,40.72
-145.478,62.146,DRYC,Dry Creek State Rec Area,SRA,907-745-3975,NA,NA,60,NR,AK,NE,Glennallen,NA,NA,FALSE,NA,NA,NA,NA,NA,5.79
-135.359,59.483,DYEA,Dyea - Klondike National Historical Park,NP,907-983-9224,NA,NA,NA,NH NR,AK,NW,Skagway,NA,NA,FALSE,NA,NA,NA,NA,NA,3.7
-141.238,64.774,EAGL,Eagle - Taylor Hwy,BLM,907-883-5121,NA,NA,16,NH VT NR,AK,SW,Eagle,vault,NA,FALSE,NA,NA,NA,NA,NA,2.41
-149.57,61.307,EAGR,Eagle River - Chugach State Park,SP,907-345-5014,NA,NA,58,PT DW NR,AK,S,Eagle River,pit,TRUE,FALSE,NA,NA,NA,NA,NA,1.93
-143.195,63.165,EAGT,Eagle Trail State Rec Area,SRA,907-451-2695,NA,NA,35,NR,AK,SW,Tok,NA,NA,FALSE,NA,NA,NA,NA,NA,21.73
-132.852,55.707,EAGN,Eagles Nest,NF,907-826-3271/907-225-3101,mid may-mid sep,take ferry,12,NH RS,AK,NA,NA,NA,NA,TRUE,NA,NA,20,37,NA,NA
-149.148,61.409,EKLU,Eklunta - Chugach State Park,SP,907-345-5014,NA,NA,50,PT DW NR,AK,E,Chugiak,pit,TRUE,FALSE,NA,NA,NA,NA,NA,17.86
-149.274,61.61,FING,Finger Lake State Rec Area,SRA,907-745-3975,NA,NA,40,NR,AK,E,Wasilla,NA,NA,FALSE,NA,NA,NA,NA,NA,9.33
-149.816,65.918,FIVE,Five Mile - Dalton Hwy,BLM,NA,NA,NA,NA,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-152.36,57.831,FORT,Fort Abercrombie State Park,SP,907-486-6339,NA,take ferry,NA,NR,AK,NE,Kodiak,NA,NA,FALSE,NA,NA,NA,NA,NA,5.31
-149.46,68.5,GALB,Galbraith Lake - Dalton Hwy,BLM,NA,NA,NA,NA,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-149.292,60.725,GRAN,Granite Creek,NF,907-783-3242/907-743-9500,early jun-late aug,NA,19,NH RS,AK,N,Moose Pass,NA,NA,TRUE,NA,NA,23,34,NA,26.72
-146.882,64.438,HARD,Harding Lake State Rec Area,SRA,907-451-2695,NA,NA,90,NR,AK,SE,Salcha,NA,NA,FALSE,NA,NA,NA,NA,NA,4.51
-132.862,55.467,HARR,Harris River,NF,907-826-3271/907-225-3101,mid may-mid sep,take ferry,15,NH RS,AK,SE,Klawock,NA,NA,TRUE,NA,NA,20,37,NA,17.54
-150.204,60.466,HIDD,Hidden Lake  - Kenai Wildlife Refuge,NWR,907-262-7021,NA,NA,43,NR,AK,W,Cooper Landing,NA,NA,FALSE,NA,NA,NA,NA,NA,20.44
-150.755,60.536,IZAA,Izaak Walton State Rec Area,SRA,907-262-5581,NA,NA,25,NR,AK,E,Sterling,NA,NA,FALSE,NA,NA,NA,NA,NA,0.48
-151.269,60.293,JOHN,Johnson Lake State Rec Area,SRA,907-262-5581,NA,NA,50,NR,AK,S,Kasilof,NA,NA,FALSE,NA,NA,NA,NA,NA,4.99
-148.495,61.776,KING,King Mountain State Rec Area,SRA,907-745-3975,NA,NA,20,NR,AK,SW,Chickaloon,NA,NA,FALSE,NA,NA,NA,NA,NA,2.9
-146.551,62.28,LAKE,Lake Louise State Rec Area,SRA,907-745-3975,NA,for res call 907-441-7575,60,NR,AK,W,Glennallen,NA,NA,FALSE,NA,NA,NA,NA,NA,54.88
-131.684,55.445,LAST,Last Chance,NF,907-225-2148/907-225-3101,mid may-late aug,NA,18,NH RS,AK,N,Ketchikan,NA,NA,TRUE,NA,NA,20,34,NA,11.59
-146.951,61.987,LITT,Little Nelchina State Rec Area,SRA,NA,NA,NA,11,NW NR N$,AK,W,Glennallen,NA,FALSE,FALSE,NA,NA,NA,NA,NA,73.87
-150.322,60.462,LOWO,Lower Ohmer Lake,NA,NA,NA,NA,NA,NA,AK,W,Cooper Landing,NA,NA,NA,NA,NA,NA,NA,NA,26.88
-150.461,60.473,LOWS,Lower Skilak Lake,NA,NA,NA,NA,NA,NA,AK,W,Cooper Landing,NA,NA,NA,NA,NA,NA,NA,NA,34.44
-150.163,67.318,MARI,Marion Creek - Dalton Hwy,BLM,NA,NA,NA,NA,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-147.795,61.798,MATA,Matanuska Glacier State Rec Area,SRA,NA,NA,tents only,6,VT DW NR,AK,E,Sutton,vault,TRUE,FALSE,NA,NA,NA,NA,NA,58.58
-134.587,58.411,MEND,Mendenhall Lake,NF,907-586-8800/907-225-3101,mid may-mid sep,NA,74,WES RS,AK,NW,Juneau,NA,NA,TRUE,NA,NA,20,37,NA,15.45
-143.543,63.374,MOON,Moon Lake State Rec Area,SRA,NA,NA,NA,15,VT DW NR,AK,W,Tanacross,vault,TRUE,FALSE,NA,NA,NA,NA,NA,9.82
-150.863,60.5,MORG,Morgans Landing State Rec Area,SRA,907-262-5581,NA,NA,40,NR,AK,SW,Sterling,NA,NA,FALSE,NA,NA,NA,NA,NA,6.76
-136.026,59.453,MOSQ,Mosquito Lake State Rec Area,SRA,NA,NA,NA,5,PT DW NR L$,AK,NW,Haines,pit,TRUE,FALSE,NA,NA,NA,NA,NA,40.88
-146.621,65.356,MOUP,Mount Prindle - Steese Hwy,BLM,NA,NA,NA,13,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-150.027,61.708,NANC,Nancy Lake State Rec Area,SRA,907-745-3975,NA,NA,NA,NR,AK,W,Sutton,NA,NA,FALSE,NA,NA,NA,NA,NA,59.71
-151.668,60.051,NINI,Ninilchik State Rec Area,SRA,907-262-5581,NA,NA,115,NR,AK,E,Ninilchik,NA,NA,FALSE,NA,NA,NA,NA,NA,0
-132.741,56.58,OHME,Ohmer Creek,NF,907-772-5826/907-225-3101,NA,take ferry,12,NR,AK,SE,Petersburg,NA,NA,FALSE,NA,NA,NA,NA,NA,28.97
-147.088,65.37,OPHI,Ophir Creek - Steese Hwy,BLM,NA,NA,NA,19,NH VT NR,AK,NA,NA,vault,NA,FALSE,NA,NA,NA,NA,NA,NA
-145.535,62.868,PAXS,Paxson Lake,BLM,907-822-3217,NA,NA,50,NR,AK,N,Gakona,NA,NA,FALSE,NA,NA,NA,NA,NA,64.05
-143.868,62.729,PORC,Porcupine Creek State Rec Area,SRA,907-822-3973,NA,NA,12,VT DW NR,AK,NE,Slana,vault,TRUE,FALSE,NA,NA,NA,NA,NA,5.31
-149.664,60.931,PORT,Porcupine Trailhead,NF,907-224-3374/907-743-9500,early jun-late aug,NA,37,NH RS,AK,NW,Hope,NA,NA,TRUE,NA,NA,23,34,NA,1.77
-149.369,60.341,PRIM,Primrose Trailhead,NF,907-224-3374/907-743-9500,NA,NA,21,NR,AK,N,Seward,NA,NA,FALSE,NA,NA,NA,NA,NA,26.55
-149.362,60.407,PTAR,Ptarmigan Creek Trailhead,NF,907-224-3374/907-743-9500,early jun-late aug,NA,49,NH RS,AK,N,Seward,NA,NA,TRUE,NA,NA,23,34,NA,33.96
-149.728,60.479,QUAC,Quartz Creek,NF,907-224-3374/907-743-9500,early jun-late aug,NA,88,NH RS,AK,E,Cooper Landing,NA,NA,TRUE,NA,NA,23,34,NA,5.95
-145.827,64.198,QUAR,Quartz Lake State Rec Area,SRA,907-451-2695,NA,NA,100,NR,AK,N,Delta Junction,NA,NA,FALSE,NA,NA,NA,NA,NA,18.35
-148.894,63.73,RILE,Riley Creek - Denali National Park,NP,800-622-7275,NA,NA,150,NH NR,AK,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
-149.822,61.558,ROCK,Rocky Lake State Rec Area,SRA,907-317-9094,NA,NA,10,VT DW NR,AK,W,Wasilla,vault,TRUE,FALSE,NA,NA,NA,NA,NA,20.44
-149.974,60.484,RUSS,Russian River Complex,NF,907-224-3374/907-743-9500,early jun-late aug,NA,236,NH RS,AK,W,Cooper Landing,NA,NA,TRUE,NA,NA,23,34,NA,7.72
-146.937,64.469,SALC,Salcha River State Rec Area,SRA,NA,NA,NA,NA,NR L$,AK,E,Salcha,NA,NA,FALSE,NA,NA,NA,NA,NA,0.16
-149.294,63.74,SAVA,Savage River - Denali National Park,NP,800-622-7275,NA,NA,35,NH NR,AK,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
-135.207,57.062,SAWM,Sawmill Creek,NF,907-747-4236/907-225-3101,NA,take ferry,12,NR,AK,E,Sitka,NA,NA,FALSE,NA,NA,NA,NA,NA,7.56
-131.726,55.511,SETT,Settlers Cove State Rec Area,SRA,NA,NA,NA,NA,35ft VT DW NR L$,AK,N,Ketchikan,vault,TRUE,FALSE,NA,NA,NA,NA,NA,19.47
-131.698,55.409,SIGN,Signal Creek,NF,907-225-2148/907-225-3101,mid apr-late aug,NA,24,NH RS,AK,NW,Ketchikan,NA,NA,TRUE,NA,NA,15,34,NA,8.21
-145.52,62.528,SOUR,Sourdough Creek,BLM,907-822-3217,NA,NA,40,NR,AK,NW,Gakona,NA,NA,FALSE,NA,NA,NA,NA,NA,27.52
-145.174,61.665,SQUI,Squirrel Creek State Rec Area,SRA,907-745-3975,NA,NA,25,NR,AK,S,Copper Center,NA,NA,FALSE,NA,NA,NA,NA,NA,32.99
-151.812,59.843,STAR,Stariski State Rec Area,SRA,NA,NA,NA,13,DP VT DW NR L$,AK,N,Anchor Point,vault,TRUE,FALSE,NA,NA,NA,NA,NA,7.4
-135.369,57.133,STAR,Starrigavan,NF,907-747-4236/907-225-3101,all year,take ferry,54,NH RS,AK,N,Sitka,NA,NA,TRUE,NA,NA,1,52,NA,9.17
