lat,lon,lookup_elevation_m
19.088,-155.549,5.74
19.135,-155.505,0
19.38,-155.898,5.6
19.44,-154.864,22.6
19.458,-154.842,2.18
19.736,-155.037,0.91
19.882,-155.12,1.81
19.992,-155.241,7.95
20.023,-155.822,4.78
20.183,-155.9,12.28
20.787,-156.002,11.57
20.811,-156.622,1
20.9,-156.438,5.6
21.173,-157.012,433.9
21.302,-157.875,2.32
21.351,-157.707,5.27
21.397,-157.902,296.96
21.544,-157.884,26.3
21.66,-157.929,2.16
21.9,-159.608,5.68
21.953,-159.666,5.34
21.954,-159.364,7.44
21.994,-159.342,10.64
22.089,-159.753,12.73
22.147,-159.305,4.47
22.22,-159.566,8.97
22.225,-159.458,1.27
24.584,-81.77,1.53
24.66,-81.274,2.14
24.71,-81.106,1
24.743,-80.983,0
24.817,-80.824,0.96
25.127,-80.41,2.78
25.137,-80.943,0.99
25.417,-80.647,0.84
25.602,-80.405,0.44
25.869,-81.114,1.54
25.891,-81.23,1.37
25.992,-81.59,0.99
25.997,-97.151,0.31
26.004,-80.321,1.92
26.039,-80.171,0.85
26.073,-97.16,2.1
26.127,-80.36,3.12
26.148,-97.172,1.39
26.172,-80.16,0.81
26.173,-98.383,34.01
26.226,-81.267,3.58
26.28,-97.388,0.5
26.306,-80.153,3.78
26.431,-81.815,4.5
26.565,-99.128,104.3
26.583,-99.143,103.31
26.681,-80.733,12.13
26.7,-80.708,4.6
26.724,-81.693,2.85
26.788,-81.309,3.9
26.824,-80.668,9.17
26.938,-81.319,9.87
27.003,-80.101,4.14
27.06,-80.97,1.98
27.111,-80.284,4.92
27.111,-80.283,3.98
27.151,-80.868,5.78
27.17,-82.477,1.19
27.24,-82.315,5.87
27.316,-97.681,2.79
27.382,-80.306,4.14
27.391,-97.313,6.93
27.426,-97.301,1.88
27.466,-97.313,1.01
27.471,-81.515,41.1
27.475,-82.349,20.48
27.478,-97.275,4.04
27.499,-97.821,15.08
27.539,-99.451,137.17
27.539,-81.023,20.3
27.583,-97.221,3.03
27.614,-82.733,0.53
27.658,-82.381,5.53
27.673,-97.175,1.58
27.688,-81.36,20.98
27.694,-97.256,3.41
27.705,-81.447,23.93
27.721,-81.418,17.38
27.739,-82.466,1.42
27.781,-82.146,39.19
27.798,-97.82,23.6
27.816,-97.065,1.36
27.817,-80.504,3.59
27.827,-82.487,0.78
27.832,-97.05,2.07
27.856,-80.446,1.33
27.865,-82.228,13.84
27.872,-80.47,0.4
27.894,-97.631,1.97
27.928,-82.16,19.6
27.969,-81.38,19.12
28.055,-97.868,32.57
28.056,-81.886,34
28.114,-98.725,81.84
28.133,-96.984,1.61
28.145,-82.224,16.25
28.165,-80.663,9.38
28.238,-80.615,0.96
28.296,-97.279,8.72
28.343,-82.12,26.9
28.381,-81.189,19.72
28.39,-96.847,7.39
28.406,-80.595,2.5
28.456,-81.721,48.61
28.463,-98.191,40.21
28.466,-98.354,70.56
28.504,-80.783,4.81
28.506,-81.481,35.15
28.512,-96.488,1
28.557,-96.528,1.11
28.565,-82.206,17.03
28.571,-82.211,17.76
28.573,-82.201,16.27
28.576,-82.218,18.22
28.598,-95.977,1.45
28.599,-95.978,1.45
28.607,-80.961,1.19
28.61,-96.214,1.44
28.619,-82.239,15.3
28.625,-81.505,23.04
28.634,-81.551,22.19
28.638,-96.614,1.95
28.653,-97.389,31.48
28.709,-81.463,24.73
28.714,-97.176,35.69
28.715,-82.576,0.65
28.73,-82.418,50.07
28.756,-82.355,6.37
28.757,-81.502,17.97
28.764,-95.63,0.02
28.768,-81.657,19.03
28.771,-95.615,2.1
28.786,-96.15,1.12
28.788,-95.996,0.79
28.789,-81.139,1.2
28.803,-82.381,5.4
28.841,-81.322,4.27
28.858,-81.903,24.29
28.912,-95.336,1.5
28.921,-96.014,11.68
28.933,-95.304,1.5
28.946,-96.538,15.23
28.952,-81.334,21.07
28.955,-96.547,15.58
28.973,-81.361,0.25
28.979,-81.551,25.8
28.985,-81.784,22.65
29.012,-81.637,15.15
29.042,-82.295,15.81
29.051,-81.756,42.86
29.079,-81.578,14.67
29.08,-95.131,0.08
29.085,-97.274,64.63
29.088,-82.422,11.5
29.098,-81.652,16.05
29.103,-81.673,17.8
29.106,-82.094,22.44
29.162,-96.045,23.29
29.182,-81.71,11.35
29.198,-94.957,1.52
29.201,-82.051,19.33
29.209,-83.063,2.21
29.243,-94.872,2
29.252,-81.866,12.3
29.253,-98.392,155.14
29.258,-89.956,1.04
29.269,-81.918,24.8
29.277,-81.692,10.06
29.29,-81.927,9.44
29.304,-97.135,93.96
29.305,-97.129,103.73
29.307,-98.294,158.02
29.329,-81.727,10.47
29.334,-98.435,172.51
29.337,-95.289,5.11
29.342,-98.885,239.02
29.342,-81.085,4.04
29.352,-100.783,327.88
29.357,-81.732,10.37
29.371,-95.632,20.2
29.398,-83.202,2.85
29.399,-98.614,220.95
29.423,-81.434,1.24
29.431,-81.786,8.89
29.438,-81.109,2.71
29.44,-83.293,0
29.45,-97.183,109.28
29.452,-96.943,73.24
29.465,-98.419,202.4
29.468,-100.95,345.05
29.472,-97.496,89.69
29.473,-101.038,342.61
29.479,-101.029,349.76
29.482,-95.035,4.12
29.484,-97.45,73.65
29.496,-82.966,6.88
29.509,-94.5,1.19
29.516,-100.904,345.45
29.519,-82.298,27.67
29.519,-81.869,5.81
29.521,-81.801,6.33
29.544,-94.784,1.52
29.548,-101.019,340.54
29.558,-82.95,3.39
29.578,-100.973,358.76
29.587,-99.738,468.96
29.597,-97.585,101.77
29.62,-100.008,422.48
29.642,-82.941,6.14
29.654,-81.24,1.14
29.656,-94.692,1.52
29.67,-81.267,4.39
29.672,-91.293,1.47
29.674,-82.951,2.89
29.679,-94.631,3.17
29.694,-101.319,418.45
29.72,-91.188,0.96
29.722,-84.742,2.27
29.734,-91.853,1.28
29.747,-94.828,7.97
29.75,-85.395,1.43
29.756,-94.688,5.6
29.78,-82.94,4.44
29.809,-101.56,397.05
29.812,-96.108,38.29
29.812,-94.799,8.84
29.812,-94.38,7.04
29.821,-90.02,-1.15
29.835,-94.651,8.37
29.847,-81.961,64.72
29.853,-98.504,382.05
29.855,-97.698,152.67
29.864,-89.901,0.47
29.869,-92.152,1.19
29.874,-98.206,293.3
29.881,-81.286,1.63
29.883,-98.216,282.49
29.89,-98.292,288.83
29.896,-98.234,301.77
29.9,-90.155,-0.99
29.904,-96.676,124.49
29.908,-98.263,302.75
29.92,-82.609,24.12
29.945,-96.749,123.8
29.95,-96.725,124.33
29.954,-81.989,56.07
29.978,-92.163,2.93
29.989,-85.014,1.12
30,-84.503,3.13
30.001,-85.005,7
30.017,-97.146,84.78
30.039,-97.158,100.42
30.051,-84.499,3.44
30.052,-85.073,3.52
30.062,-91.608,0.84
30.066,-93.346,2.75
30.082,-84.654,0.65
30.09,-98.427,397.84
30.095,-85.613,3.63
30.096,-84.644,6.77
30.105,-95.653,56.17
30.11,-97.287,158.89
30.129,-92.908,0.3
30.134,-93.921,3.62
30.135,-85.743,3.16
30.142,-97.286,140.42
30.142,-95.158,30.45
30.142,-85.2,6.93
30.165,-84.675,6.25
30.166,-97.28,140.42
30.179,-97.721,179.61
30.182,-85.754,2.24
30.194,-90.954,3.32
30.199,-84.176,2.47
30.22,-81.682,4.25
30.227,-92.824,3.8
30.248,-82.44,47.25
30.25,-92.274,8.34
30.25,-88.079,1.85
30.252,-94.174,6.9
30.254,-91.988,11.45
30.266,-89.402,1.49
30.268,-87.65,1.77
30.277,-84.988,23.87
30.285,-96.572,84.89
30.291,-96.667,84.03
30.295,-96.535,86.43
30.301,-93.244,4.29
30.303,-93.112,3.66
30.305,-96.512,81.82
30.308,-98.258,322.41
30.309,-96.635,80.57
30.319,-97.758,198.31
30.322,-87.404,6.48
30.323,-87.274,1.35
30.327,-97.841,149.27
30.329,-96.569,76.44
30.329,-86.157,1.73
30.33,-82.76,30.99
30.338,-81.404,0.31
30.339,-96.55,77.61
30.343,-87.314,5.28
30.345,-90.023,5.06
30.348,-93.295,5.84
30.362,-93.721,8.63
30.372,-81.404,2.22
30.373,-88.626,4.53
30.375,-86.3,6.04
30.376,-96.116,68.64
30.378,-83.166,20.85
30.382,-89.104,7.39
30.385,-87.416,5.58
30.385,-86.447,5.73
30.387,-91.208,7.78
30.391,-90.628,4.13
30.391,-88.858,1.19
30.392,-89.479,6.49
30.394,-81.401,2.88
30.397,-88.796,5.98
30.402,-97.953,220.76
30.406,-84.407,23.01
30.408,-88.956,6.31
30.409,-90.14,1.23
30.409,-86.697,3.42
30.409,-81.421,0.1
30.411,-86.499,3.98
30.42,-84.572,30.12
30.429,-85.882,18.63
30.431,-97.873,248.3
30.439,-83.093,18.35
30.447,-84.52,24.54
30.454,-84.482,26.01
30.455,-86.418,4.33
30.46,-86.53,6.28
30.46,-81.416,5.73
30.462,-84.497,26.38
